SEQUENCE_NUMBER,ROUTE_LABEL,YEAR,DRAFT_AADT,PAST_AADT,AADT_CHANGE,AADT_COMMENT
91,US 59,2023,4583,5090,-0.0996,"18 Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), 14 RCL, Avg Hist, 08 AD, Avg Hist"
115,MN 87,2023,1737,1879,-0.0758,18 Avg Hist
116,MN 87,2023,1244,1446,-0.1397,"18 See Hist, 14 See Hist, 10 Avg Hist"
131,MN 87,2023,2043,2666,-0.2337,"23 See Hist, 18 AD, Avg Hist, 14 See Hist, 08 Avg Hist"
188,US 2,2023,6329,6900,-0.0828,"16 Avg Hist (14 Cnts), 14 RCH, Avg Hist, 10 Avg Hist, 08 Avg Hist"
193,US 71,2023,4737,4100,0.1554,"18 RCH, Avg Hist (16 Cnt), 16 Avg Hist (14 Cnt), 14 Avg Hist (10), 12 No AADT, 10 "
196,MN 89,2023,2090,2150,-0.0279,"16 Avg Hist, 08 RCL, Avg Hist"
201,MN 1,2023,196,230,-0.1478,"14 See Hist, 10 Avg Hist"
203,MN 89,2023,157,200,-0.215,"16 Avg Hist, 14 See Hist, 12 Avg Hist, 08 Avg Hist"
206,MN 1,2023,645,602,0.072,"18 Avg Hist, 14 See Hist, 10 Avg Hist, 08 Avg Hist"
207,MN 72,2023,1052,1357,-0.2245,"21 See Hist, 18 Avg Hist (16 Cnt), 16 RCL, AD Avg Hist, 14 See Hist, 10 Avg Hist, "
208,MN 1,2023,826,820,0.0073,"19 Avg Hist, 18 No AADT, 14 See Hist, 12 Avg Hist, 10 Avg Hist, 08 AD, See Hist "
210,MN 1,2023,344,342,0.0057,"19 Avg Hist, 12 See Hist, 10 Avg Hist, 08 RCL, Avg Hist"
215,MN 1,2023,3710,4050,-0.084,"18 Avg Hist, 14 See Hist"
216,MN 1,2023,5483,6000,-0.0862,"18 RCL, Avg Hist (16 Cnts), 16 No AADT, 14 See Hist, 12 Avg Hist, 10 Avg Hist"
217,MN 89,2023,3099,3800,-0.1845,"12 RCH, Avg Hist, 10 RCH, AD Avg Hist"
225,MN 89,2023,2867,2400,0.1946,"16 Avg Hist, 08 Avg Hist"
226,US 2,2023,10056,10000,0.0056,"19 AD, Avg Hist, 18 No AADT, 08 Avg Hist "
238,MN 72,2023,2463,1850,0.3314,"23 AD, See Hist, 18 RCH, AD Avg Hist (16 Cnt), 16 Avg Hist, 12 Avg Hist, 10 See "
269,MN 25,2023,2930,2500,0.172,"19 Avg Hist, 11 Avg Hist, 09 Avg Hist (06 Cnt), 06 Const, Est"
271,MN 95,2023,4465,4900,-0.0888,"17 RCH, Avg Hist, 11 Avg Hist, 09 See Hist, 06 Avg Hist"
272,MN 25,2023,2964,2550,0.1624,"09 Avg Hist (04 Cnt), 06 Est, Const"
281,MN 23,2023,5210,6500,-0.1985,"23 RCL, 17 RCH, Avg Hist (15 Cnt), 15 Avg Hist "
290,MN 25,2023,4694,3550,0.3223,"23 See Hist, 20 COVID"
291,MN 23,2023,6020,7700,-0.2182,"23 RCL, 17 AD, Avg Hist, 04 Est"
