,Station Name,traffic avg 2500m,traffic avg 5000m,traffic avg 10000m
0,PUBLIC USE / MTN DELL GOLF,0,0,129.0
1,PUBLIC USE / 255 E 500 S #2,199.355,103.69024999999999,71.5696111111111
2,SALT LAKE CITY / COMPLAINCE 1,199.355,103.69024999999999,71.5696111111111
3,PUBLIC USE / 255 E 500 S,199.355,103.69024999999999,71.5696111111111
4,PUBLIC USE / SUGAR HOUSE,123.54,159.32933333333332,75.32577777777777
5,SALT LAKE CITY / SLC FACIL SERV2,199.355,103.69024999999999,71.5696111111111
6,PUBLIC USE / LIBRARY SQUA P1,199.355,110.29799999999999,75.66647058823528
7,UVU / PARKING L6,137.1175,181.10933333333332,167.61086666666668
8,SALT LAKE CITY / SLC COMPLIANCE2,199.355,103.69024999999999,71.5696111111111
9,PUBLIC USE / 300 SOUTH,199.355,115.2512,88.06816666666666
10,UVU / PARKING L13,137.1175,181.10933333333332,167.61086666666668
11,PUBLIC USE / SUNNYSIDE AVE,6.186,52.148666666666664,133.89844444444444
12,RMP NTO OFFICE / NTO WEST LOT 1,60.055,138.749,88.06816666666666
13,SALT LAKE CITY / SLC FACIL SERV1,199.355,103.69024999999999,71.5696111111111
14,RMP NTO OFFICE / NTO WEST LOT FC,60.055,138.749,88.06816666666666
15,FLEET / PSB-FIRE,199.355,110.29799999999999,78.62944444444445
16,MAVERIK / MAVERICK #538 1,0,0,0
17,SLC AIRPORT / EMPLOYEE 1,0,60.055,68.5514
18,PUBLIC USE / LIBRA SQ GAR P2,199.355,103.69024999999999,75.66647058823528
19,RMP NTO OFFICE / NTO WEST LOT 3,60.055,138.749,88.06816666666666
20,RMP NTO OFFICE / NTO WEST LOT 2,60.055,138.749,88.06816666666666
21,PUBLIC USE / FAIRMONT PARK,123.54,159.32933333333332,75.32577777777777
22,PUBLIC USE / SORENSON MULTIC,217.44299999999998,115.48679999999999,70.44238888888889
23,UVU / PARKING GARAGE,137.1175,155.9267142857143,167.61086666666668
24,RMP NTO OFFICE / STATION 1,60.055,138.749,88.06816666666666
25,PUBLIC USE / PIONEER PARK,165.85333333333332,115.2512,88.06816666666666
