,Station Name,Postal Code,mean_income,median_income,population,sex_ratio,poi_number_10m,poi_number_100m,poi_number_1000m,traffic_avg_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m
0,PUBLIC USE / MTN DELL GOLF,84108,"173,172","110,287","21,864",92.8,0,0,0,0,0,0,129
1,PUBLIC USE / 255 E 500 S #2,84111,"74,870","51,624","13,030",115.1,0,3,218,0,199.355,103.69025,71.56961111
2,SALT LAKE CITY / COMPLAINCE 1,84111,"74,870","51,624","13,030",115.1,0,0,171,0,199.355,103.69025,71.56961111
3,PUBLIC USE / 255 E 500 S,84111,"74,870","51,624","13,030",115.1,0,5,222,0,199.355,103.69025,71.56961111
4,PUBLIC USE / SUGAR HOUSE,84106,"114,283","90,381","35,166",100,0,5,102,0,123.54,159.3293333,75.32577778
5,SALT LAKE CITY / SLC FACIL SERV2,84111,"74,870","51,624","13,030",115.1,0,0,170,0,199.355,103.69025,71.56961111
6,PUBLIC USE / LIBRARY SQUA P1,84111,"74,870","51,624","13,030",115.1,0,7,229,0,199.355,110.298,75.66647059
7,UVU / PARKING L6,84058,"92,919","68,069","42,952",108.2,0,0,7,137.1175,137.1175,181.1093333,167.6108667
9,SALT LAKE CITY / SLC COMPLIANCE2,84111,"74,870","51,624","13,030",115.1,0,0,179,0,199.355,103.69025,71.56961111
10,PUBLIC USE / 300 SOUTH,84111,"74,870","51,624","13,030",115.1,0,19,322,0,199.355,115.2512,88.06816667
11,UVU / PARKING L13,84058,"92,919","68,069","42,952",108.2,0,0,12,0,137.1175,181.1093333,167.6108667
12,PUBLIC USE / SUNNYSIDE AVE,84108,"173,172","110,287","21,864",92.8,0,0,22,0,6.186,52.14866667,133.8984444
13,RMP NTO OFFICE / NTO WEST LOT 1,84116,"80,410","67,968","34,588",113.6,0,0,10,60.055,60.055,138.749,88.06816667
14,SALT LAKE CITY / SLC FACIL SERV1,84111,"74,870","51,624","13,030",115.1,0,0,170,0,199.355,103.69025,71.56961111
15,RMP NTO OFFICE / NTO WEST LOT FC,84116,"80,410","67,968","34,588",113.6,0,0,10,60.055,60.055,138.749,88.06816667
16,FLEET / PSB-FIRE,84111,"74,870","51,624","13,030",115.1,0,0,208,0,199.355,110.298,78.62944444
17,MAVERIK / MAVERICK #538 1,84631,"101,683","75,278","2,912",115.5,0,2,10,0,0,0,0
20,SLC AIRPORT / EMPLOYEE 1,84114,-,-,,,0,0,0,0,0,60.055,68.5514
21,PUBLIC USE / LIBRA SQ GAR P2,84111,"74,870","51,624","13,030",115.1,0,4,253,0,199.355,103.69025,75.66647059
22,RMP NTO OFFICE / NTO WEST LOT 3,84116,"80,410","67,968","34,588",113.6,0,0,10,60.055,60.055,138.749,88.06816667
23,RMP NTO OFFICE / NTO WEST LOT 2,84116,"80,410","67,968","34,588",113.6,0,0,10,60.055,60.055,138.749,88.06816667
