X,Y,OBJECTID,LAYER_ID,ATR_NUMBER,ROUTE_NUMBER,ROUTE_DIR_ID,START_ACCUM,LOCTEXT,CNTY_NAME,LATITUDE,LONGITUDE,YEAR_EST,YEAR_DSC,CreationDate,Creator,EditDate,Editor,GlobalID,SENSOR1
-12457879.9855,5024838.5011,1,56,-0316,0089,1384,402.695,"SR 89   2 miles S of SR 193, Hillfield Road, Layton  MP 402.695  FC 14",Davis,41.084669990211,-111.911039987013,1979,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{9DFDBD97-1A89-4943-9290-84CF67EFD7D2},Loop
-12461786.8558,4934363.8839,2,56,-0407,0068,1368,038.593,"SR 68   2 miles N of Utah County Line,  Bluffdale  MP 38.593  FC 16",Salt Lake,40.4692179998496,-111.946136000049,1964,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{0815834F-8933-4A39-ACF4-B71D02D35D36},NID
-12197065.098,4478442.4132,3,56,-0506,0191,350,024.666,"SR 191  1.2 miles W of SR 163,  Bluff  MP 24.666  FC 02",San Juan,37.2816800028193,-109.568099989342,1990,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{C7863506-C7CB-4C37-9336-D5F7C94B1328},NID
-12439435.4636,4929140.197,4,56,-0601,0092,1386,007.873,SR 92   American Fork Canyon W Toll Booth  MP 7.873  FC 17,Utah,40.4335099596139,-111.745350027703,1999,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{CE628122-9890-4150-9489-256DDC063224},Loop
-12463901.2559,4702588.2842,5,56,-0305,0024,1340,008.064,"SR 24   0.1 mile N of SR 118,  Sigurd  MP 8.064  FC 07",Sevier,38.8666499634253,-111.965129979315,1939,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{950CDBD5-13F0-4CA2-AF93-7D72B40B89BD},Loop
-12400500.3505,5154176.6777,6,56,-0304,0089,1384,499.810,"SR 89   0.6 mile N of SR 30,  Garden City  MP 499.810  FC 02",Rich,41.9545699997839,-111.395589955836,1959,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{8C6BDBB7-8E3C-4EBE-B54F-54FC6F2271FA},Under Construction
-12451312.1431,5049871.6995,7,56,-0320,0039,1349,013.243,"SR 39   0.5 mile W of SR 158, Ogden Cyn.  MP 13.243  FC 06",Weber,41.2539499947423,-111.852040054897,1950,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{2D163834-B756-4ADE-9EE0-AE9594F75CEB},Loop
-12572840.6826,5155913.1705,8,56,-0430,0030,1343,080.704,"SR 30   6.01 miles E of SR 42,  Curlew Jct.  MP 80.704  FC 07",Box Elder,41.9661696666747,-112.943749499793,1950,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{765F3A74-95A5-4EC5-8228-DEE498257738},Loop
-12451007.1197,4818834.6285,9,56,-0502,0015,1333,222.158,I 15   0.5 mile S of Nephi Int.  MP 222.158  FC 01,Juab,39.6750599868037,-111.849299983075,1990,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{38381007-2067-4375-BBF6-6F74AE39144A},WIM
-12450151.076,5136858.4836,10,56,-0510,0218,356,007.700,"SR 218   100 N 319 W,  Smithfield  MP 7.700  FC 16",Cache,41.8387699886643,-111.841610011679,1994,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{751FEEA7-BA02-4E50-A877-45FC29E8C51F},Loop
