X,Y,OBJECTID,LAYER_ID,ATR_NUMBER,ROUTE_NUMBER,ROUTE_DIR_ID,START_ACCUM,LOCTEXT,CNTY_NAME,LATITUDE,LONGITUDE,YEAR_EST,YEAR_DSC,CreationDate,Creator,EditDate,Editor,GlobalID,SENSOR1
-12457879.99,5024838.501,1,56,-316,89,1384,402.695,"SR 89   2 miles S of SR 193, Hillfield Road, Layton  MP 402.695  FC 14",Davis,41.08466999,-111.91104,1979,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{9DFDBD97-1A89-4943-9290-84CF67EFD7D2},Loop
-12461786.86,4934363.884,2,56,-407,68,1368,38.593,"SR 68   2 miles N of Utah County Line,  Bluffdale  MP 38.593  FC 16",Salt Lake,40.469218,-111.946136,1964,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{0815834F-8933-4A39-ACF4-B71D02D35D36},NID
-12197065.1,4478442.413,3,56,-506,191,350,24.666,"SR 191  1.2 miles W of SR 163,  Bluff  MP 24.666  FC 02",San Juan,37.28168,-109.5681,1990,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{C7863506-C7CB-4C37-9336-D5F7C94B1328},NID
-12439435.46,4929140.197,4,56,-601,92,1386,7.873,SR 92   American Fork Canyon W Toll Booth  MP 7.873  FC 17,Utah,40.43350996,-111.74535,1999,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{CE628122-9890-4150-9489-256DDC063224},Loop
-12463901.26,4702588.284,5,56,-305,24,1340,8.064,"SR 24   0.1 mile N of SR 118,  Sigurd  MP 8.064  FC 07",Sevier,38.86664996,-111.96513,1939,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{950CDBD5-13F0-4CA2-AF93-7D72B40B89BD},Loop
-12400500.35,5154176.678,6,56,-304,89,1384,499.81,"SR 89   0.6 mile N of SR 30,  Garden City  MP 499.810  FC 02",Rich,41.95457,-111.39559,1959,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{8C6BDBB7-8E3C-4EBE-B54F-54FC6F2271FA},Under Construction
-12451312.14,5049871.7,7,56,-320,39,1349,13.243,"SR 39   0.5 mile W of SR 158, Ogden Cyn.  MP 13.243  FC 06",Weber,41.25394999,-111.8520401,1950,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{2D163834-B756-4ADE-9EE0-AE9594F75CEB},Loop
-12572840.68,5155913.171,8,56,-430,30,1343,80.704,"SR 30   6.01 miles E of SR 42,  Curlew Jct.  MP 80.704  FC 07",Box Elder,41.96616967,-112.9437495,1950,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{765F3A74-95A5-4EC5-8228-DEE498257738},Loop
-12451007.12,4818834.629,9,56,-502,15,1333,222.158,I 15   0.5 mile S of Nephi Int.  MP 222.158  FC 01,Juab,39.67505999,-111.8493,1990,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{38381007-2067-4375-BBF6-6F74AE39144A},WIM
-12450151.08,5136858.484,10,56,-510,218,356,7.7,"SR 218   100 N 319 W,  Smithfield  MP 7.700  FC 16",Cache,41.83876999,-111.84161,1994,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{751FEEA7-BA02-4E50-A877-45FC29E8C51F},Loop
-12447000.74,5127451.322,11,56,-511,1267,253,2.145,"Route 1267   2416 N 800 E,  Logan  MP 2.145  FC 16",Cache,41.77577997,-111.81331,1994,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{52DB1010-943B-4A4A-ACB4-61468D9476B6},Loop
-12459582.07,4978721.157,12,56,-409,2330,1838,1.69,"Route 2330   1200 W North Temple,  SLC  MP 1.690  FC 16",Salt Lake,40.77167003,-111.92633,1956,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{3C2CE8AC-759B-422B-8956-B69CC544E1CF},Loop
-12545138.86,4618209.047,13,56,-405,21,305,104.31,"SR 21   3 miles W of Main Street,  Beaver  MP 104.310  FC 06",Beaver,38.27402528,-112.6948998,1950,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{2E54904F-DB01-42CB-9B37-2F6ABE5B6B81},Loop
-12638711.83,4456184.327,14,56,-704,3196,2000,7.54,"Route 3196   2250 E Redcliff Drive,  St. George  MP 7.540  FC 17",Washington,37.12242004,-113.53548,2001,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{4D28601D-45FF-4159-80B2-1D0A15302E84},Loop
-12448180.71,5032886.498,15,56,-609,167,1434,1.25,SR 167   1.2 miles W of Mountain Green Int.  MP 1.250  FC 07,Morgan,41.13914002,-111.8239099,2001,0,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,2020/12/14 10:47:25+00,psidwell@utah.gov_uplan,{2AB0D566-510D-4F33-B4F4-E37200A66FC3},Loop
