,Unnamed: 0,Station Name,mean_income,median_income,population,sex_ratio,poi_number_100m,poi_number_1000m,traffic_avg_2500m,traffic_avg_5000m,traffic_avg_10000m,Hours Used/Day,Hours Charged/Day,kWh/Day,Sessions/Day
0,0,PUBLIC USE / MTN DELL GOLF,173172.0,110287.0,21864.0,92.8,0,0,0.0,0.0,129.0,4.440248756,3.409365672,20.15422388,1.71641791
1,1,PUBLIC USE / 255 E 500 S #2,74870.0,51624.0,13030.0,115.1,3,218,199.355,103.69025,71.56961111,8.759682193,7.549942989,37.47699563,5.061135371
2,2,SALT LAKE CITY / COMPLAINCE 1,74870.0,51624.0,13030.0,115.1,0,171,199.355,103.69025,71.56961111,33.42480373,8.002103571,40.5741996,3.075848303
3,3,PUBLIC USE / 255 E 500 S,74870.0,51624.0,13030.0,115.1,5,222,199.355,103.69025,71.56961111,9.228680285,7.450336144,36.74200778,5.035019455
4,4,PUBLIC USE / SUGAR HOUSE,114283.0,90381.0,35166.0,100.0,5,102,123.54,159.3293333,75.32577778,8.068356348,7.032149165,34.7466657,6.174373796
5,5,SALT LAKE CITY / SLC FACIL SERV2,74870.0,51624.0,13030.0,115.1,0,170,199.355,103.69025,71.56961111,20.72386869,5.309712121,26.56947273,1.954545455
6,6,PUBLIC USE / LIBRARY SQUA P1,74870.0,51624.0,13030.0,115.1,7,229,199.355,110.298,75.66647059,7.085274184,3.702812693,15.64021072,1.611829945
7,7,UVU / PARKING L6,92919.0,68069.0,42952.0,108.2,0,7,137.1175,181.1093333,167.6108667,11.10474972,7.298124312,26.39254455,3.586633663
8,9,SALT LAKE CITY / SLC COMPLIANCE2,74870.0,51624.0,13030.0,115.1,0,179,199.355,103.69025,71.56961111,30.30724009,7.692993827,40.12679532,2.961013645
9,10,PUBLIC USE / 300 SOUTH,74870.0,51624.0,13030.0,115.1,19,322,199.355,115.2512,88.06816667,15.04878728,12.10012681,47.6411758,6.626654064
10,11,UVU / PARKING L13,92919.0,68069.0,42952.0,108.2,0,12,137.1175,181.1093333,167.6108667,9.756332528,6.279054616,27.06568599,3.381642512
11,12,PUBLIC USE / SUNNYSIDE AVE,173172.0,110287.0,21864.0,92.8,0,22,6.186,52.14866667,133.8984444,5.306774405,4.050109612,17.6953457,2.544688027
12,13,RMP NTO OFFICE / NTO WEST LOT 1,80410.0,67968.0,34588.0,113.6,0,10,60.055,138.749,88.06816667,14.15214188,8.969964727,29.43860847,3.388007055
13,14,SALT LAKE CITY / SLC FACIL SERV1,74870.0,51624.0,13030.0,115.1,0,170,199.355,103.69025,71.56961111,19.01147996,4.880327869,24.36213115,2.098360656
14,15,RMP NTO OFFICE / NTO WEST LOT FC,80410.0,67968.0,34588.0,113.6,0,10,60.055,138.749,88.06816667,2.868738793,2.808541467,60.63559942,5.141210375
15,16,FLEET / PSB-FIRE,74870.0,51624.0,13030.0,115.1,0,208,199.355,110.298,78.62944444,50.29560266,6.430209984,15.89013629,2.218700475
16,17,MAVERIK / MAVERICK #538 1,101683.0,75278.0,2912.0,115.5,2,10,0.0,0.0,0.0,1.185453216,1.159497608,33.63980383,1.789473684
17,21,PUBLIC USE / LIBRA SQ GAR P2,74870.0,51624.0,13030.0,115.1,4,253,199.355,103.69025,75.66647059,5.889667637,2.523184134,11.33468777,1.526200873
18,22,RMP NTO OFFICE / NTO WEST LOT 3,80410.0,67968.0,34588.0,113.6,0,10,60.055,138.749,88.06816667,12.51428495,8.885031898,29.31601914,3.449760766
19,23,RMP NTO OFFICE / NTO WEST LOT 2,80410.0,67968.0,34588.0,113.6,0,10,60.055,138.749,88.06816667,13.28890999,8.76094572,28.552553,3.325088339
20,25,PUBLIC USE / FAIRMONT PARK,114283.0,90381.0,35166.0,100.0,0,121,123.54,159.3293333,75.32577778,6.36722993,5.543212172,26.16193452,4.264150943
21,26,PUBLIC USE / SORENSON MULTIC,72686.0,59136.0,26761.0,102.6,0,10,217.443,115.4868,70.44238889,5.019250689,3.676450872,10.70955372,2.550413223
