,Station Name,poi number 10m,poi number 100m,poi number 1000m,traffic avg 1000m
0,PUBLIC USE / MTN DELL GOLF,0,0,0,0
1,PUBLIC USE / 255 E 500 S #2,0,3,218,0
2,SALT LAKE CITY / COMPLAINCE 1,0,0,171,0
3,PUBLIC USE / 255 E 500 S,0,5,222,0
4,PUBLIC USE / SUGAR HOUSE,0,5,102,0
5,SALT LAKE CITY / SLC FACIL SERV2,0,0,170,0
6,PUBLIC USE / LIBRARY SQUA P1,0,7,229,0
7,UVU / PARKING L6,0,0,7,137.1175
8,SALT LAKE CITY / SLC COMPLIANCE2,0,0,179,0
9,PUBLIC USE / 300 SOUTH,0,19,322,0
10,UVU / PARKING L13,0,0,12,0
11,PUBLIC USE / SUNNYSIDE AVE,0,0,22,0
12,RMP NTO OFFICE / NTO WEST LOT 1,0,0,10,60.055
13,SALT LAKE CITY / SLC FACIL SERV1,0,0,170,0
14,RMP NTO OFFICE / NTO WEST LOT FC,0,0,10,60.055
15,FLEET / PSB-FIRE,0,0,208,0
16,MAVERIK / MAVERICK #538 1,0,2,10,0
17,SLC AIRPORT / EMPLOYEE 1,0,0,0,0
18,PUBLIC USE / LIBRA SQ GAR P2,0,4,253,0
19,RMP NTO OFFICE / NTO WEST LOT 3,0,0,10,60.055
20,RMP NTO OFFICE / NTO WEST LOT 2,0,0,10,60.055
21,PUBLIC USE / FAIRMONT PARK,0,0,121,0
22,PUBLIC USE / SORENSON MULTIC,0,0,10,0
23,UVU / PARKING GARAGE,0,1,13,0
24,RMP NTO OFFICE / STATION 1,0,0,12,60.055
25,PUBLIC USE / PIONEER PARK,0,6,209,0
26,PUBLIC USE / FOREST DALE GOL,0,0,110,0
27,SLC AIRPORT / EMPLOYEE 2,0,0,0,0
28,SLC AIRPORT / HOURLY 1,0,3,49,0
29,PUBLIC USE / LIBERTY PARK 2,0,0,49,21.26
30,PUBLIC USE / LIBRARY SQ P1,0,8,238,0
31,FLEET / PSB-FIRE 2,0,0,207,0
32,PUBLIC USE / LIBERTY PARK,0,0,48,21.26
33,PUBLIC USE / INTL PEACE GARD,0,0,15,0
34,UVU / PARKING M23,0,0,18,0
35,FLEET / SLC FACILITIES,0,0,167,0
36,SLC AIRPORT / EMPLOYEE 4,0,0,0,0
37,FLEET / LIBRARY POOL,0,1,219,0
38,SALT LAKE CITY / PLAZA 349 #1,0,3,298,0
39,SLC AIRPORT / EMPLOYEE 3,0,0,0,0
40,UVU / PARKING W2,0,0,4,137.1175
41,SLC AIRPORT / ECONOMY 4,0,0,41,0
42,MAVERIK / MAVERIK 488 2,0,0,2,0
43,SLC AIRPORT / HOURLY 3,0,3,49,0
44,UVU / PARKING SVCS 1,0,0,16,0
45,MAVERIK / MAVERIK 508-1,0,2,5,0
46,MAVERIK / MAVERIK 488 1,0,0,2,0
47,SLC AIRPORT / HOURLY 2,0,3,49,0
48,MAVERIK / MAVERIK 481 1,0,1,15,0
49,SLC AIRPORT / HOURLY 4,0,3,49,0
50,SALT LAKE CITY / PLAZA 349 #2,0,3,299,0
51,MAVERIK / MAVERIK 533 1,0,0,0,0
52,SELECT EVR / EVR L2 B,0,0,3,0
53,SELECT EVR / EVR L2 A,0,0,3,0
54,RMP NTO OFFICE / RMP MOAB CT4K,0,1,48,0
55,SLC AIRPORT / ECONOMY 1,0,0,41,0
56,FLEET / PSB-FIRE NORTH,0,0,207,0
57,FLEET / FLEET,0,0,0,0
58,MAVERIK / MAVERIK #390 1,0,3,7,0
59,MAVERIK / MAVERIK 348 2,0,1,1,0
60,SLC AIRPORT / ECONOMY 3,0,0,41,0
61,MAVERIK / MAVERIK 481 2,0,1,15,0
62,MAVERIK / MAVERIK #390 2,0,3,7,0
63,PUBLIC USE / 159 S. MAIN ST,0,22,308,0
64,RMP NTO OFFICE / RMP MOAB CPE250,0,0,51,0
65,SELECT EVR / EVR DCFC,0,0,4,0
66,SLC AIRPORT / ECONOMY 2,0,0,43,0
67,MAVERIK / MAVERIK 533 2,0,0,0,0
68,MAVERIK / MAVERK #538 2,0,3,10,0
69,MAVERIK / MAVERIK #377 1,0,2,6,0
70,MAVERIK / MAVERIK 508-2,0,2,5,0
71,MAVERIK / MAVERIK 348 1,0,1,1,0
72,UVU / ADMIN LOT 1,0,0,18,0
73,UVU / FAST CHARGER,0,0,20,0
74,SALT LAKE CITY / PARKS & LAND,0,0,0,0
75,MAVERIK / MAVERIK #377 2,0,2,6,0
76,SALT LAKE CITY / 475 S 300 E #2,0,0,201,0
77,SALT LAKE CITY / 475 S 300 E,0,0,200,0
78,PUBLIC USE / RAC PARKING,0,0,1,26.4
79,SALT LAKE CITY / PSB-FIRE NORTH,0,0,207,0
80,SALT LAKE CITY / 250 E 500 S #2,0,3,218,0
81,PUBLIC USE / 250 E 500 S,0,5,222,0
82,SALT LAKE CITY / PUB SAFETY 01,0,3,298,0
83,PUBLIC USE / 475 S 300 E,0,0,200,0
84,PUBLIC USE / 475 S 300 E #2,0,0,202,0
85,SALT LAKE CITY / PUB SAFETY 02,0,3,299,0
86,PACKSIZE / CLEAN AIR 3,0,0,0,0
87,PACKSIZE / CLEAN AIR 2,0,0,0,0
88,PACKSIZE / CLEAN AIR 4,0,0,0,0
89,PACKSIZE / CLEAN AIR 12,0,0,0,0
90,PACKSIZE / CLEAN AIR 10,0,0,0,0
91,TEST / CLEAN AIR 9,0,0,0,0
92,PACKSIZE / CLEAN AIR 13,0,0,0,0
93,PACKSIZE / CLEAN AIR 6,0,0,0,0
94,PACKSIZE / CLEAN AIR 1,0,0,0,0
95,PACKSIZE / CLEAN AIR 11,0,0,0,0
96,PACKSIZE / CLEAN AIR 14,0,0,0,0
97,PACKSIZE / CLEAN AIR 5,0,0,0,0
98,PACKSIZE / CLEAN AIR 7,0,0,0,0
99,PACKSIZE / CLEAN AIR 8,0,0,0,0
100,PACKSIZE / CLEAN AIR 9,0,0,0,0
101,SELECT - EVR / EVR L2 A,0,0,3,0
102,FLEET BUILDING / PSB-FIRE,0,0,208,0
103,FLEET BUILDING / PSB-FIRE 2,0,0,207,0
104,FLEET BUILDING / LIBRARY SQUA P1,0,7,229,0
105,FLEET BUILDING / SLC FACILITIES,0,0,167,0
106,FLEET BUILDING / 159 S. MAIN ST,0,22,308,0
107,FLEET BUILDING / SUGAR HOUSE,0,5,102,0
108,FLEET BUILDING / 300 SOUTH,0,19,322,0
109,FLEET BUILDING / LIBERTY PARK,0,0,48,21.26
110,FLEET BUILDING / FAIRMONT PARK,0,0,121,0
111,FLEET BUILDING / FOREST DALE GOL,0,0,110,0
112,FLEET BUILDING / LIBERTY PARK 2,0,0,49,21.26
113,FLEET BUILDING / FLEET,0,0,0,0
114,FLEET BUILDING / LIBRA SQ GAR P2,0,4,253,0
115,FLEET BUILDING / LIBRARY SQ P1,0,8,238,0
116,FLEET BUILDING / INTL PEACE GARD,0,0,15,0
117,FLEET BUILDING / SORENSON MULTIC,0,0,10,0
118,FLEET BUILDING / PIONEER PARK,0,6,209,0
119,FLEET BUILDING / LIBRARY POOL,0,1,219,0
120,FLEET BUILDING / LIBER SQ GAR P2,0,4,253,0
121,RMP NTO OFFICE / STATION 01,0,0,12,60.055
