,zipcode,mean_income,median income,median_income
0,81324,"88,522",,"75,179"
0,82930,"78,644",,"73,765"
0,83342,"66,289",,"52,664"
0,84001,"76,873",,"74,444"
0,84002,"67,766",,"45,781"
0,84003,"152,520",,"111,339"
0,84004,"210,608",,"161,602"
0,84005,"114,293",,"100,707"
0,84006,"90,189",,"78,281"
0,84007,"82,261",,"86,920"
0,84008,-,,-
0,84009,"147,787",,"123,152"
0,84010,"120,651",,"93,845"
0,84013,"122,814",,"101,316"
0,84014,"131,645",,"113,697"
0,84015,"99,216",,"87,033"
0,84017,"100,687",,"83,750"
0,84018,"137,065",,-
0,84020,"164,948",,"126,041"
0,84021,"81,064",,"67,143"
0,84022,"112,218",,"104,148"
0,84023,"55,530",,"37,375"
0,84024,"86,795",,"90,714"
0,84025,"143,043",,"115,278"
0,84026,"67,142",,"30,694"
0,84027,"94,220",,"70,000"
0,84028,"65,346",,"51,500"
0,84029,"126,357",,"93,948"
0,84031,"124,206",,"103,125"
0,84032,"124,772",,"93,337"
0,84033,"92,523",,"84,327"
0,84034,"70,290",,-
0,84035,"80,749",,"44,297"
0,84036,"162,241",,"109,205"
0,84037,"160,326",,"121,617"
0,84038,"92,662",,"90,481"
0,84039,"78,605",,"56,910"
0,84040,"143,480",,"116,856"
0,84041,"99,522",,"82,890"
0,84042,"128,970",,"101,188"
0,84043,"140,973",,"117,071"
0,84044,"90,963",,"79,934"
0,84045,"132,232",,"117,314"
0,84046,"78,647",,"67,188"
0,84047,"86,707",,"70,903"
0,84049,"192,448",,"127,500"
0,84050,"145,914",,"120,732"
0,84051,"131,668",,"137,262"
0,84052,"80,117",,"64,375"
0,84053,"91,567",,"78,571"
0,84054,"119,418",,"94,802"
0,84055,"169,818",,"111,250"
0,84056,"74,124",,"63,333"
0,84057,"91,015",,"74,522"
0,84058,"92,919",,"68,069"
0,84059,"124,409",,"95,682"
0,84060,"240,811",,"126,602"
0,84061,"142,720",,"116,328"
0,84062,"122,032",,"95,286"
0,84063,"128,571",,"40,000"
0,84064,"83,825",,"84,803"
0,84065,"139,757",,"119,649"
0,84066,"85,738",,"70,811"
0,84067,"94,268",,"83,852"
0,84069,"89,127",,"82,000"
0,84070,"97,109",,"76,839"
0,84071,"134,197",,"125,977"
0,84072,"61,167",,"49,375"
0,84073,"79,735",,"61,250"
0,84074,"110,209",,"96,165"
0,84075,"143,268",,"125,549"
0,84076,"115,506",,"99,853"
0,84078,"84,655",,"70,694"
0,84080,"67,339",,"52,344"
0,84081,"125,054",,"115,174"
0,84082,"183,172",,"123,750"
0,84083,"58,219",,"41,989"
0,84084,"96,845",,"87,482"
0,84085,"59,647",,-
0,84086,"89,807",,"57,455"
0,84087,"136,975",,"114,951"
0,84088,"107,204",,"93,788"
0,84092,"180,449",,"144,091"
0,84093,"158,350",,"131,302"
0,84094,"114,537",,"98,455"
0,84095,"150,226",,"117,698"
0,84096,"125,420",,"114,018"
0,84097,"126,878",,"92,542"
0,84098,"225,698",,"166,462"
0,84101,"98,624",,"64,405"
0,84102,"74,006",,"50,036"
0,84103,"144,629",,"79,497"
0,84104,"72,686",,"59,136"
0,84105,"130,032",,"90,909"
0,84106,"114,283",,"90,381"
0,84107,"89,043",,"66,626"
0,84108,"173,172",,"110,287"
0,84109,"164,349",,"128,682"
0,84111,"74,870",,"51,624"
0,84112,"29,676",,"16,685"
0,84113,-,,-
0,84114,-,,-
0,84115,"73,027",,"55,237"
0,84116,"80,410",,"67,968"
0,84117,"132,187",,"82,866"
0,84118,"95,659",,"81,808"
0,84119,"76,384",,"63,823"
0,84120,"98,446",,"85,758"
0,84121,"137,940",,"108,873"
0,84123,"90,807",,"73,898"
0,84124,"163,380",,"109,264"
0,84128,"111,298",,"101,462"
0,84129,"107,048",,"90,259"
0,84138,-,,-
0,84150,N,,-
0,84180,-,,-
0,84301,"89,903",,"66,250"
0,84302,"87,014",,"72,407"
0,84304,N,,-
0,84305,"73,314",,"62,321"
0,84306,"97,940",,"100,515"
0,84307,"78,663",,"66,094"
0,84308,"120,474",,"73,750"
0,84309,"115,463",,"128,750"
0,84310,"156,749",,"133,456"
0,84311,"85,669",,"58,000"
0,84312,"86,905",,"71,099"
0,84313,N,,-
0,84314,"104,407",,"82,083"
0,84315,"120,836",,"99,877"
0,84316,"85,100",,"80,469"
0,84317,"133,582",,"112,931"
0,84318,"135,290",,"92,702"
0,84319,"89,727",,"76,901"
0,84320,"99,821",,"73,750"
0,84321,"75,764",,"61,210"
0,84322,-,,-
0,84324,"137,107",,"127,563"
0,84325,"140,575",,"118,787"
0,84326,"120,466",,"85,694"
0,84327,"95,479",,"75,208"
0,84328,"113,881",,"94,318"
0,84329,"144,884",,-
0,84330,"85,976",,"72,917"
0,84331,"87,531",,"55,417"
0,84332,"129,571",,"98,454"
0,84333,"103,487",,"83,696"
0,84334,N,,-
0,84335,"97,613",,"86,017"
0,84336,"84,821",,"86,250"
0,84337,"93,612",,"69,135"
0,84338,"82,280",,"77,500"
0,84339,"138,720",,"103,971"
0,84340,"111,732",,"100,762"
0,84341,"84,905",,"60,169"
0,84401,"89,334",,"73,973"
0,84403,"108,510",,"80,749"
0,84404,"89,685",,"76,706"
0,84405,"99,797",,"84,752"
0,84408,-,,-
0,84414,"121,125",,"103,708"
0,84501,"67,905",,"52,772"
0,84511,"95,864",,"65,238"
0,84512,"51,951",,"50,234"
0,84513,"73,386",,"62,500"
0,84515,-,,-
0,84516,"47,592",,"43,750"
0,84518,"91,736",,"88,083"
0,84520,"58,197",,"55,313"
0,84521,"67,585",,"60,078"
0,84522,"77,534",,"68,333"
0,84523,"70,421",,"66,154"
0,84525,"71,200",,"44,957"
0,84526,"68,378",,"59,938"
0,84528,"81,531",,"69,191"
0,84529,"35,202",,"25,240"
0,84530,"43,427",,"33,628"
0,84531,"51,146",,"28,098"
